Course_ID,Course_Name,Course_Acronym,Level,Status,Status_Key,Language,Language_Key,Course_Name_Language,Specialization,Specialization_Key,Syllabus_Link,Course_Specifications_Link,Team_Assignments,Coursera_Link,Grade_Percent,Credits
,Computer Science Orientation,,,Completed,3,,,,,,,,,https://www.coursera.org/learn/london-cs-orientation,100,
CM1005,Introduction to Programming I,ITP1,4,In Progress,2,Javascript,1,Introduction to Programming I: Javascript,,,UoL_Resources/Syllabus/CM1005-Syllabus.pdf,UoL_Resources/Course_Specifications/CM1005-Specs.pdf,,,,15
CM1010,Introduction to Programming II,ITP2,4,Not Started,1,Javascript,1,Introduction to Programming II: Javascript,,,UoL_Resources/Syllabus/CM1010-Syllabus.pdf,UoL_Resources/Course_Specifications/CM1010-Specs.pdf,,,,15
CM1015,Computational Mathematics,CM,4,In Progress,2,None,,Computational Mathematics: N/A,,,UoL_Resources/Syllabus/CM1015-Syllabus.pdf,UoL_Resources/Course_Specifications/CM1015-Specs.pdf,,,,15
CM1020,Discrete Mathematics,DM,4,Not Started,1,,,Discrete Mathematics: N/A,,,UoL_Resources/Syllabus/CM1020-Syllabus.pdf,UoL_Resources/Course_Specifications/CM1020-Specs.pdf,,,,15
CM1025,Fundamentals Of Computer Science,FCS,4,Not Started,1,,,Fundamentals of Computer Science: N/A,,,UoL_Resources/Syllabus/CM1025-Syllabus.pdf,UoL_Resources/Course_Specifications/CM1025-Specs.pdf,,,,15
CM1030,How Computers Work,HCW,4,Not Started,1,,,How Computers Work : N/A,,,UoL_Resources/Syllabus/CM1030-Syllabus.pdf,UoL_Resources/Course_Specifications/CM1030-Specs.pdf,,,,15
CM1035,Algorithms and Data Structures I,ADS1,4,Not Started,1,Javascript,1,Algorithms and Data Structures I: Javascript,,,UoL_Resources/Syllabus/CM1035-Syllabus.pdf,UoL_Resources/Course_Specifications/CM1035-Specs.pdf,,,,15
CM1040,Web Development,WD,4,Not Started,1,Javascript,1,Web Development: Javascript,,,UoL_Resources/Syllabus/CM1040-Syllabus.pdf,UoL_Resources/Course_Specifications/CM1040-Specs.pdf,,,,15
CM2005,Object Oriented Programming,OOP,5,Not Started,1,C++,2,Object Oriented Programming: C++,,,UoL_Resources/Syllabus/CM2005-Syllabus.pdf,UoL_Resources/Course_Specifications/CM2005-Specs.pdf,,,,15
CM2010,Software Design And Development,SD&D,5,Not Started,1,"C++, Javascript, Python","1,2,3","Software Design and Development: C++, Javascript, Python",,,UoL_Resources/Syllabus/CM2010-Syllabus.pdf,UoL_Resources/Course_Specifications/CM2010-Specs.pdf,,,,15
CM2015,Programming With Data,PWD,5,Not Started,1,Python,3,Programming with Data: Python,,,UoL_Resources/Syllabus/CM2015-Syllabus.pdf,UoL_Resources/Course_Specifications/CM2015-Specs.pdf,,,,15
CM2020,Agile Software Projects,ASP,5,Not Started,1,,,Agile Software Projects: N/A,,,UoL_Resources/Syllabus/CM2020-Syllabus.pdf,UoL_Resources/Course_Specifications/CM2020-Specs.pdf,,,,15
CM2025,Computer Security,,5,Not Started,1,,,Computer Security: N/A,,,,,,,,15
CM2030,Graphics Programming,GP,5,Not Started,1,Javascript,1,Graphics Programming: Javascript,,,UoL_Resources/Syllabus/CM2030-Syllabus.pdf,UoL_Resources/Course_Specifications/CM2030-Specs.pdf,,,,15
CM2035,Algorithms and Data Structures II,ADS2,5,Not Started,1,C++,2,Algorithms and Data Structures II: C++,,,UoL_Resources/Syllabus/CM2035-Syllabus.pdf,UoL_Resources/Course_Specifications/CM2035-Specs.pdf,,,,15
CM2040,"Databases, Networks And The Web",DNW,5,Not Started,1,Javascript,1,"Databases, Networks and the Web: Javascript",,,UoL_Resources/Syllabus/CM2040-Syllabus.pdf,UoL_Resources/Course_Specifications/CM2040-Specs.pdf,,,,15
CM3005,Data Science,,6,Not Picked,4,,,,"Data Science, User Experience, Web and Mobile Development, Physical Computing and the Internet of Things","1, 3, 4, 5",,UoL_Resources/Course_Specifications/CM3005-Specs.pdf,,,,15
CM3010,Databases and Advanced Data Techniques,DADT,6,Not Picked,4,,,,"Data Science, Machine Learning and Artificial Intelligence, User Experience, Web and Mobile Development","1, 2, 3, 4",UoL_Resources/Syllabus/CM3010-Syllabus.pdf,UoL_Resources/Course_Specifications/CM3010-Specs.pdf,,,,15
CM3015,Machine Learning and Neural Networks,MLNN,6,Not Picked,4,,,,"Data Science, Machine Learning and Artificial Intelligence","1, 2",UoL_Resources/Syllabus/CM3015-Syllabus.pdf,UoL_Resources/Course_Specifications/CM3015-Specs.pdf,,,,15
CM3020,Artificial Intelligence,,6,Not Picked,4,,,,"Machine Learning and Artificial Intelligence, Games Development","2, 6",,,,,,15
CM3025,Virtual Reality,,6,Not Picked,4,,,,"User Experience, Games Development, Virtual Reality","3, 6, 7",,,,,,15
CM3030,Games Development,GD,6,Not Picked,4,,,,"Games Development, Virtual Reality","6, 7",UoL_Resources/Syllabus/CM3030-Syllabus.pdf,UoL_Resources/Course_Specifications/CM3030-Specs.pdf,,,,15
CM3035,Advanced Web Development,AWD,6,Not Picked,4,,,,"Data Science, Machine Learning and Artificial Intelligence","1, 2",UoL_Resources/Syllabus/CM3035-Syllabus.pdf,UoL_Resources/Course_Specifications/CM3035-Specs.pdf,,,,15
CM3040,Physical Computing and the Internet of Things,,6,Not Picked,4,,,,"User Experience, Physical Computing and the Internet of Things","3, 5",,,,,,15
CM3045,3D Graphics and Animation,3DGA,6,Not Picked,4,,,,"Web and Mobile Development, Games Development, Virtual Reality","4, 6, 7",UoL_Resources/Syllabus/CM3045-Syllabus.pdf,,,,,15
CM3050,Mobile Development,,6,Not Picked,4,,,,"User Experience, Web and Mobile Development, Virtual Reality","3, 4, 7",,,,,,15
